name,invasive
1,1.0
10,2.52256613749e-05
100,0.246653243899
1000,0.00104912079405
1001,8.63557090724e-07
1002,1.60562667588e-05
1003,1.0
1004,1.0
1005,1.0
1006,0.00607272842899
1007,0.999950170517
1008,3.18489867368e-07
1009,1.0
101,1.0
1010,2.16938387894e-05
1011,1.46059282997e-05
1012,1.0
1013,1.0
1014,0.999866008759
1015,1.47415830725e-05
1016,3.93308255298e-06
1017,0.999980926514
1018,1.0
1019,0.405986011028
102,7.87085300544e-05
1020,0.99246609211
1021,9.09381196834e-06
1022,9.56384337769e-06
1023,5.00977284901e-06
1024,1.0
1025,6.23856749371e-06
1026,5.17535454492e-06
1027,1.0
1028,0.00138969335239
1029,7.965376426e-06
103,1.0
1030,3.39461416843e-06
1031,1.0
1032,8.49098978506e-06
1033,0.000301769556245
1034,1.0
1035,3.55625570592e-06
1036,1.0
1037,1.0
1038,5.63643516216e-06
1039,1.0
104,1.0
1040,1.0
1041,7.59584872867e-05
1042,1.0
1043,1.0
1044,5.7017965446e-05
1045,3.20620638377e-05
1046,1.0
1047,1.0
1048,2.80299400401e-06
1049,7.74313775764e-06
105,1.0
1050,1.0
1051,9.90908210952e-06
1052,9.05760680325e-06
1053,9.38039374887e-06
1054,1.0
1055,1.0
1056,0.000148006889503
1057,1.0
1058,1.0
1059,1.0
106,8.43280577101e-06
1060,1.0
1061,1.7739699615e-05
1062,1.0
1063,6.94500113241e-06
1064,0.00547114247456
1065,1.0
1066,1.0
1067,4.87536908622e-06
1068,1.0
1069,1.0
107,1.5785692085e-05
1070,1.05274784801e-06
1071,3.38362406183e-05
1072,2.34531253227e-05
1073,2.57057126873e-06
1074,1.0
1075,1.0
1076,7.74236195866e-06
1077,1.0
1078,1.37028737299e-05
1079,1.0
108,0.999998688698
1080,3.19247337757e-05
1081,1.0
1082,1.0
1083,1.0
1084,1.0
1085,1.0
1086,6.85788745614e-06
1087,1.69896029547e-05
1088,2.5985443699e-06
1089,1.0
109,1.0
1090,8.0221400367e-07
1091,1.0
1092,4.57436863144e-06
1093,1.48244644151e-05
1094,1.0
1095,1.0
1096,2.84487668978e-06
1097,1.0
1098,4.58730846731e-06
1099,8.71903739608e-06
11,6.03874514127e-06
110,4.88483556182e-06
1100,1.0
1101,1.0
1102,1.0
1103,4.1031426008e-06
1104,8.80064326338e-05
1105,4.86184444526e-06
1106,1.0
1107,1.0
1108,4.55917142972e-05
1109,1.0
111,1.04782147901e-05
1110,1.0
1111,1.71777674041e-06
1112,4.90690581501e-06
1113,4.59817511e-06
1114,4.52906806458e-06
1115,0.0568576790392
1116,1.0
1117,1.0
1118,1.39846797538e-05
1119,1.0
112,1.54878925969e-05
1120,0.999992847443
1121,4.73470754514e-06
1122,1.0
1123,5.64057736483e-05
1124,1.4865689991e-05
1125,8.33813919598e-06
1126,1.0
1127,3.65896121366e-05
1128,2.21438003791e-05
1129,9.90577518678e-06
113,6.07879883319e-06
1130,9.05270280782e-06
1131,1.0
1132,0.981255829334
1133,0.000102898513433
1134,1.0
1135,0.619445860386
1136,3.82571033697e-06
1137,1.0
1138,2.11094288716e-06
1139,1.0
114,0.000360674079275
1140,7.24629387605e-07
1141,3.27269867739e-06
1142,1.0
1143,7.15602709533e-06
1144,1.0
1145,2.83170493276e-06
1146,8.4115548816e-05
1147,4.03894409828e-06
1148,1.98968155019e-06
1149,1.0593843399e-05
115,1.0
1150,0.892274022102
1151,4.4102848733e-06
1152,1.0
1153,1.85241856343e-06
1154,0.999889492989
1155,2.75890897683e-06
1156,1.0
1157,5.91053776589e-06
1158,9.7714819276e-06
1159,6.13839392827e-06
116,1.0
1160,2.18202831093e-06
1161,1.0
1162,1.0
1163,0.000542825378943
1164,0.99984562397
1165,6.12822041148e-05
1166,1.21446149137e-07
1167,1.0
1168,1.0
1169,2.00936938199e-05
117,1.0
1170,1.0
1171,1.0
1172,1.0
1173,3.34031642524e-06
1174,1.0
1175,9.74592603598e-06
1176,1.0
1177,1.0
1178,8.70413941811e-07
1179,0.0146854892373
118,1.19212918435e-05
1180,1.0
1181,1.0
1182,1.0
1183,6.83114512867e-06
1184,0.000266768445726
1185,4.35846086475e-05
1186,0.999912500381
1187,1.0
1188,6.41215410724e-06
1189,3.59814839612e-06
119,1.0
1190,1.06407442217e-05
1191,3.05465437123e-06
1192,0.00122513447423
1193,4.57864143755e-06
1194,0.000238300519413
1195,4.05752916777e-06
1196,0.999999165535
1197,1.0
1198,8.65008860274e-06
1199,1.0
12,1.88075864571e-05
120,1.0
1200,1.0
1201,0.0442235842347
1202,1.0
1203,1.0
1204,1.4056910004e-05
1205,1.96870787477e-05
1206,0.734901487827
1207,6.15941053184e-06
1208,8.73381668498e-06
1209,1.41796181197e-06
121,1.0
1210,1.0
1211,0.000391873676563
1212,1.0
1213,0.999984502792
1214,8.45049271447e-06
1215,0.000443866214482
1216,0.000275073456578
1217,1.19456235552e-05
1218,1.0
1219,0.305323243141
122,1.39867537996e-07
1220,1.22980929973e-06
1221,0.999978423119
1222,1.0
1223,1.0
1224,7.70219558035e-05
1225,1.0
1226,5.70109114051e-06
1227,1.0
1228,1.0
1229,1.97411845875e-05
123,1.0
1230,1.0
1231,3.92975744035e-06
